project;0;1;2;3;4;5;6;7;8;9;10;11
11ty/eleventy;44;68;80;72;106;84;65;62;35;55;83;60
47ng/nuqs;90;174;152;174;260;255;134;198;183;167;121;158
AUTOMATIC1111/stable-diffusion-webui;197;164;103;44;42;127;45;69;30;26;17;17
All-Hands-AI/OpenHands;0;0;0;0;0;353;4607;5677;3918;4178;6196;6685
AntiMicroX/antimicrox;43;33;52;10;13;82;57;0;25;6;0;7
Anuken/Mindustry;123;156;139;207;193;107;93;50;295;168;141;385
App-vNext/Polly;107;117;162;45;171;152;127;88;208;300;133;181
AssetRipper/AssetRipper;64;28;53;51;30;9;45;58;56;68;69;38
AstrBotDevs/AstrBot;0;0;0;36;46;2;26;57;102;12;0;0
Automattic/jetpack;8239;8191;9249;9120;5880;5760;7599;5850;13151;15091;15207;9644
Avaiga/taipy;516;563;505;483;895;951;430;222;274;227;183;227
AxonFramework/AxonFramework;17;25;81;29;55;81;97;191;146;284;251;194
BOINC/boinc;703;461;1074;924;594;658;780;924;987;1498;1473;1030
Belphemur/SoundSwitch;98;36;20;44;38;26;33;34;55;92;85;59
BerriAI/litellm;61;61;62;69;78;55;43;40;38;52;2021;3318
BetterDiscord/BetterDiscord;0;1;0;8;0;4;8;32;70;77;13;44
BeyondDimension/SteamTools;8;35;25;63;38;1;52;5;11;12;12;1
BookStackApp/BookStack;486;90;146;186;711;261;966;491;219;1153;371;156
BrighterCommand/Brighter;127;145;102;130;101;79;75;125;74;152;83;37
Budibase/budibase;763;593;646;644;741;757;633;578;640;665;711;512
BuilderIO/mitosis;190;63;155;151;142;256;52;23;177;145;192;119
CGAL/cgal;226;115;73;209;255;179;170;162;232;225;284;184
Canner/WrenAI;366;445;714;472;412;778;778;877;543;261;668;463
Chia-Network/chia-blockchain;2907;2577;2458;2663;1928;3523;3823;1669;2269;2052;2941;1773
Chocobozzz/PeerTube;96;102;75;52;77;59;62;62;116;85;93;73
Cinnamon/kotaemon;41;2;1;104;90;74;41;38;29;11;9;14
CleverRaven/Cataclysm-DDA;5164;4036;4432;6096;4736;5799;5783;5205;4483;4771;4654;3995
Col-E/Recaf;30;31;18;11;7;29;18;22;35;13;10;13
CopilotKit/CopilotKit;98;175;151;57;132;256;910;545;579;425;346;302
DataLinkDC/dinky;158;109;96;181;107;115;312;130;112;104;76;5
Delgan/loguru;101;34;53;73;94;119;366;84;128;221;32;20
DenverCoder1/github-readme-streak-stats;9;11;8;8;7;4;31;9;11;8;7;7
DevToys-app/DevToys;34;66;92;29;8;29;9;6;5;7;3;2
Dokploy/dokploy;114;118;278;109;69;120;166;269;243;153;132;102
FastEndpoints/FastEndpoints;20;29;10;4;18;23;18;18;8;24;14;13
FlaxEngine/FlaxEngine;148;71;92;79;106;133;58;54;87;68;106;106
Flow-Launcher/Flow.Launcher;6;8;0;0;10;0;2;0;0;11;15;216
FuelLabs/fuels-ts;977;1630;1098;1008;934;380;677;696;523;467;387;256
Genivia/ugrep;15;3;16;7;0;4;14;5;12;4;1;11
GoogleChrome/lighthouse;739;101;172;203;81;90;258;132;304;488;482;420
GothenburgBitFactory/taskwarrior;59;298;148;40;52;116;129;88;78;112;106;98
HDInnovations/UNIT3D;253;159;177;283;239;225;80;184;186;241;251;206
Haivision/srt;75;270;400;495;170;89;80;226;80;418;806;45
HypothesisWorks/hypothesis;81;200;118;88;105;118;95;146;126;128;235;121
Jigsaw-Code/outline-apps;239;117;1528;1186;516;343;575;333;1342;1106;342;511
JustArchiNET/ArchiSteamFarm;174;172;158;136;246;151;156;130;154;163;171;149
Kareadita/Kavita;24;30;41;80;60;44;36;12;15;39;43;26
Koenkk/zigbee2mqtt;378;281;218;270;280;384;374;465;232;354;441;315
Kong/insomnia;924;1042;1272;1131;1097;846;708;531;580;1253;1288;1272
LWJGL/lwjgl3;6;2;2;0;4;0;5;6;8;1;0;3
Lightning-AI/pytorch-lightning;617;1065;501;114;246;272;654;353;141;227;365;575
LykosAI/StabilityMatrix;4;13;8;9;6;17;17;27;17;7;12;5
Lymphatus/caesium-image-compressor;9;4;4;5;4;18;3;4;1;5;27;3
MISP/MISP;47;67;38;124;174;102;180;193;47;117;166;59
MaaAssistantArknights/MaaAssistantArknights;572;573;2429;1635;702;1476;731;458;1150;1329;465;1120
MetaMask/metamask-extension;0;0;0;16;1605;60;0;0;0;0;0;9
Milkdown/milkdown;39;42;35;35;8;2;41;56;123;92;148;172
MuntashirAkon/AppManager;7;33;7;5;3;8;37;15;60;47;19;13
NVIDIA/TensorRT-LLM;0;0;0;0;0;0;0;0;0;45;646;1079
NativePHP/laravel;2;1;14;21;6;27;49;49;27;39;55;25
NatronGitHub/Natron;6;18;37;2;17;0;7;37;3;6;6;28
NodeBB/NodeBB;368;386;180;247;292;325;417;400;573;727;406;371
OctoPrint/OctoPrint;120;72;66;99;99;98;99;77;106;85;104;90
OneUptime/oneuptime;1465;1262;754;484;539;301;1001;657;1688;1805;2255;1441
OpenAPITools/openapi-generator;2510;1841;1479;1543;2526;1846;1709;1099;1070;1740;1786;2021
OpenMined/PySyft;4707;4989;3408;3589;2055;409;372;272;256;331;251;253
OpenRA/OpenRA;53;92;191;216;223;224;69;183;123;253;192;164
OpenRCT2/OpenRCT2;369;269;573;398;426;261;368;332;374;442;489;429
OpenRefine/OpenRefine;177;112;223;279;157;288;173;176;161;204;140;85
OpenTTD/OpenTTD;241;232;108;83;143;239;270;368;583;823;489;757
OpenTabletDriver/OpenTabletDriver;26;26;94;18;25;20;97;84;269;15;22;18
PHPCompatibility/PHPCompatibility;40;8;54;221;162;16;23;0;3;8;0;0
PSAppDeployToolkit/PSAppDeployToolkit;0;0;0;0;0;0;204;167;111;89;59;118
PaddlePaddle/PaddleNLP;481;487;490;757;403;621;786;716;292;1099;1070;690
PlasmoHQ/plasmo;15;6;0;14;13;6;2;0;0;204;105;54
Portkey-AI/gateway;0;0;0;0;0;39;67;63;33;29;55;86
PowerShell/PowerShell;0;0;0;0;0;0;0;0;327;919;834;974
PrestaShop/PrestaShop;2752;2568;2131;2091;3087;3023;4179;1930;2037;2430;2506;2129
PrismLauncher/PrismLauncher;205;230;62;107;242;274;144;70;176;103;268;310
PrivateBin/PrivateBin;59;52;25;33;43;110;52;202;55;59;33;34
QuivrHQ/quivr;0;111;353;330;260;148;76;75;67;39;45;59
QwikDev/qwik;594;442;389;318;294;302;243;250;379;187;385;191
RedisInsight/RedisInsight;0;0;0;0;0;17;0;0;0;0;0;0
Serial-Studio/Serial-Studio;1;0;12;0;75;100;224;15;4;1;0;67
Shopify/react-native-skia;0;0;0;56;101;66;182;195;131;82;157;70
Slackadays/Clipboard;0;2;8;0;56;50;8;2;92;20;4;2
StarRocks/starrocks;2995;3186;3179;2849;1843;2172;2047;2296;1720;2560;2202;2243
Stellarium/stellarium;163;489;79;652;406;148;685;539;533;709;1350;231
TeamNewPipe/NewPipe;6;34;78;44;18;45;89;23;65;36;41;52
Textualize/rich;0;32;5;44;36;14;4;1;2;2;29;6
TheAssassin/AppImageLauncher;4;4;5;4;4;5;4;4;4;5;4;4
TheJoeFin/Text-Grab;5;2;3;5;2;4;5;5;2;8;2;0
ToolJet/ToolJet;1584;1120;840;576;702;760;1056;1123;1482;1220;1286;2239
TypeCellOS/BlockNote;210;145;126;71;146;276;195;85;135;439;289;192
Tyrrrz/DiscordChatExporter;46;9;8;11;6;22;6;8;8;6;21;45
