withastro/astro, 11508262
wix/Detox, 15170406
supabase/auth, 12876606
sveltejs/svelte, 14783
apache/dubbo, 38056936
apache/dubbo, 79406284
apache/dubbo, 45464896
skylot/jadx, 27032656
google/guava, 6794244
facebook/react, 106946368
trekhleb/javascript-algorithms, 4550796
TheAlgorithms/Python, 3711979
Significant-Gravitas/AutoGPT, 118504850
AUTOMATIC1111/stable-diffusion-webui, 40444318
ytdl-org/youtube-dl, 4378722
nodejs/node, 858951
yt-dlp/yt-dlp, 5235551
yt-dlp/yt-dlp, 4770954
axios/axios, 12016475
mrdoob/three.js, 932885
openai/whisper, 45741746
typicode/json-server, 11822643
spring-projects/spring-boot, 94486960
anuraghazra/github-readme-stats, 1856479
comfyanonymous/ComfyUI, 116517292
chartjs/Chart.js, 10539
python/cpython, 6676
expressjs/express, 10933076
alibaba/arthas, 4250752
pallets/flask, 1367898
airbnb/lottie-android, 2349844
netty/netty, 4436972
netty/netty, 4451519
TeamNewPipe/NewPipe, 4377913
