project;
EbookFoundation/free-programming-books;347
public-apis/public-apis;4
donnemartin/system-design-primer;3
vinta/awesome-python;3
facebook/react;1727
TheAlgorithms/Python;177
trekhleb/javascript-algorithms;16
Significant-Gravitas/AutoGPT;1401
AUTOMATIC1111/stable-diffusion-webui;280
Snailclimb/JavaGuide;439
airbnb/javascript;1
huggingface/transformers;3085
ytdl-org/youtube-dl;103
vercel/next.js;5686
f/awesome-chatgpt-prompts;266
Chalarangelo/30-seconds-of-code;1147
521xueweihan/HelloGitHub;25
yt-dlp/yt-dlp;716
krahets/hello-algo;138
nodejs/node;2832
axios/axios;146
mrdoob/three.js;2034
facebook/create-react-app;17
deepseek-ai/DeepSeek-V3;66
open-webui/open-webui;7478
ryanmcdermott/clean-code-javascript;0
nvbn/thefuck;0
iluwatar/java-design-patterns;549
pytorch/pytorch;14717
microsoft/Web-Dev-For-Beginners;69
fastapi/fastapi;1491
django/django;943
jaywcjlove/awesome-mac;187
sveltejs/svelte;1769
openai/whisper;18
macrozheng/mall;28
home-assistant/core;17054
comfyanonymous/ComfyUI;1264
3b1b/manim;415
doocs/advanced-java;26
tensorflow/models;188
spring-projects/spring-boot;5764
bregman-arie/devops-exercises;38
MisterBooo/LeetCodeAnimation;0
FortAwesome/Font-Awesome;7
typicode/json-server;27
fighting41love/funNLP;0
anuraghazra/github-readme-stats;172
elastic/elasticsearch;9446
louislam/uptime-kuma;586
abi/screenshot-to-code;262
hacksider/Deep-Live-Cam;393
pallets/flask;141
d2l-ai/d2l-zh;0
hakimel/reveal.js;67
binary-husky/gpt_academic;351
josephmisiti/awesome-machine-learning;61
python/cpython;4840
expressjs/express;133
chartjs/Chart.js;55
sherlock-project/sherlock;394
swisskyrepo/PayloadsAllTheThings;164
langflow-ai/langflow;5409
webpack/webpack;904
leonardomso/33-js-concepts;32
ansible/ansible;530
xtekky/gpt4free;1201
kdn251/interviews;0
keras-team/keras;846
Alvin9999/new-pac;18600
resume/resume.github.com;0
scikit-learn/scikit-learn;1157
browser-use/browser-use;1999
TheAlgorithms/Java;662
juliangarnier/anime;50
labmlai/annotated_deep_learning_paper_implementations;66
lodash/lodash;1
atom/atom;0
Stirling-Tools/Stirling-PDF;1789
adam-p/markdown-here;27
OpenInterpreter/open-interpreter;445
jquery/jquery;60
localstack/localstack;1168
angular/angular.js;0
meta-llama/llama;8
spring-projects/spring-framework;2714
microsoft/markitdown;265
NationalSecurityAgency/ghidra;2607
h5bp/html5-boilerplate;25
All-Hands-AI/OpenHands;3524
scutan90/DeepLearning-500-questions;0
FoundationAgents/MetaGPT;1865
zylon-ai/private-gpt;56
gatsbyjs/gatsby;81
soimort/you-get;75
scrapy/scrapy;359
azl397985856/leetcode;30
jgraph/drawio-desktop;164
ageitgey/face_recognition;0
CorentinJ/Real-Time-Voice-Cloning;1
AntonOsika/gpt-engineer;110
deepfakes/faceswap;10
ultralytics/yolov5;110
commaai/openpilot;2022
gorhill/uBlock;941
psf/requests;68
Z4nzu/hackingtool;4
Textualize/rich;267
Semantic-Org/Semantic-UI;2
hiyouga/LLaMA-Factory;1503
mozilla/pdf.js;1915
google/guava;437
prettier/prettier;749
xai-org/grok-1;0
marktext/marktext;1
modelcontextprotocol/servers;2357
PaddlePaddle/PaddleOCR;302
chinese-poetry/chinese-poetry;10
TryGhost/Ghost;2925
vllm-project/vllm;4973
NARKOZ/hacker-scripts;0
poteto/hiring-without-whiteboards;47
ReactiveX/RxJava;104
moment/moment;0
iamkun/dayjs;36
agalwood/Motrix;0
charlax/professional-programming;37
minimaxir/big-list-of-naughty-strings;0
RVC-Boss/GPT-SoVITS;317
serverless/serverless;259
Asabeneh/30-Days-Of-Python;41
typescript-cheatsheets/react;18
FoundationAgents/OpenManus;451
pandas-dev/pandas;1254
microsoft/autogen;1881
lllyasviel/Fooocus;125
bigskysoftware/htmx;463
meteor/meteor;1955
Mintplex-Labs/anything-llm;751
unclecode/crawl4ai;793
Asabeneh/30-Days-Of-JavaScript;2
google/zx;301
skylot/jadx;227
parcel-bundler/parcel;241
oobabooga/text-generation-webui;681
dbeaver/dbeaver;1410
odoo/odoo;8724
jeecgboot/JeecgBoot;457
Leaflet/Leaflet;95
microsoft/monaco-editor;58
LeCoupa/awesome-cheatsheets;8
GitSquared/edex-ui;0
Unitech/pm2;60
sudheerj/reactjs-interview-questions;69
run-llama/llama_index;2285
OpenBB-finance/OpenBB;389
termux/termux-app;25
yarnpkg/yarn;4
karpathy/nanoGPT;6
faif/python-patterns;21
ultralytics/ultralytics;1436
THUDM/ChatGLM-6B;3
Stability-AI/stablediffusion;0
nolimits4web/swiper;102
apache/dubbo;696
getsentry/sentry;15789
mingrammer/diagrams;86
hpcaitech/ColossalAI;569
apachecn/ailearning;3
dcloudio/uni-app;3199
nwjs/nw.js;222
coqui-ai/TTS;0
psf/black;116
apache/airflow;5831
streamlit/streamlit;1261
unslothai/unsloth;1018
chubin/cheat.sh;8
freqtrade/freqtrade;3620
mitmproxy/mitmproxy;367
google-research/bert;0
floodsung/Deep-Learning-Papers-Reading-Roadmap;0
NaiboWang/EasySpider;131
Dogfalo/materialize;0
videojs/video.js;110
lm-sys/FastChat;89
deepspeedai/DeepSpeed;484
gradio-app/gradio;1122
PhilJay/MPAndroidChart;0
phaserjs/phaser;571
QuivrHQ/quivr;614
impress/impress.js;0
preactjs/preact;303
LAION-AI/Open-Assistant;0
ray-project/ray;3519
gto76/python-cheatsheet;221
zhayujie/chatgpt-on-wechat;261
eugenp/tutorials;3273
0voice/interview_internal_reference;1
TencentARC/GFPGAN;0
naptha/tesseract.js;45
ccxt/ccxt;5219
goabstract/Awesome-Design-Tools;0
2noise/ChatTTS;417
denysdovhan/wtfjs;1
babysor/MockingBird;9
alibaba/arthas;82
satwikkansal/wtfpython;85
openai/gym;0
XingangPan/DragGAN;0
ToolJet/ToolJet;2221
httpie/cli;13
halo-dev/halo;600
geekxh/hello-algorithm;0
koajs/koa;60
alvarotrigo/fullPage.js;124
airbnb/lottie-android;67
carbon-app/carbon;11
jondot/awesome-react-native;0
hankcs/HanLP;43
sahat/hackathon-starter;51
harry0703/MoneyPrinterTurbo;124
bumptech/glide;9
markedjs/marked;230
usebruno/bruno;908
chenfei-wu/TaskMatrix;0
opendatalab/MinerU;2197
sqlmapproject/sqlmap;90
huggingface/pytorch-image-models;494
hiroi-sora/Umi-OCR;243
zenorocha/clipboard.js;0
netty/netty;675
fxsjy/jieba;0
testerSunshine/12306;0
doocs/leetcode;1488
TeamNewPipe/NewPipe;260
atlassian/react-beautiful-dnd;6
fastify/fastify;369
xkcoding/spring-boot-demo;0
virattt/ai-hedge-fund;321
shadowsocks/shadowsocks;0
Aider-AI/aider;8616
Blankj/AndroidUtilCode;1
typicode/husky;39
alibaba/easyexcel;42
zxing/zxing;18
XX-net/XX-Net;5
python-poetry/poetry;309
TheAlgorithms/JavaScript;20
adobe/brackets;0
geekcomputers/Python;672
gulpjs/gulp;0
mem0ai/mem0;747
Shubhamsaboo/awesome-llm-apps;541
HeyPuter/puter;2780
Pythagora-io/gpt-pilot;767
ryanhanwu/How-To-Ask-Questions-The-Smart-Way;3
myshell-ai/OpenVoice;10
lllyasviel/ControlNet;0
SeleniumHQ/selenium;1436
jax-ml/jax;6982
qishibo/AnotherRedisDesktopManager;63
certbot/certbot;231
crewAIInc/crewAI;993
facebookresearch/detectron2;31
ManimCommunity/manim;153
remoteintech/remote-jobs;123
pcottle/learnGitBranching;105
explosion/spaCy;99
alibaba/nacos;417
facebookresearch/fairseq;5
gchq/CyberChef;245
danielmiessler/fabric;1350
yunjey/pytorch-tutorial;0
YunaiV/ruoyi-vue-pro;2359
binarywang/WxJava;188
airbnb/lottie-web;7
xinntao/Real-ESRGAN;0
open-mmlab/mmdetection;0
0xAX/linux-insides;11
mindsdb/mindsdb;1179
docling-project/docling;475
ityouknow/spring-boot-examples;0
lovell/sharp;103
SortableJS/Sortable;13
lutzroeder/netron;1064
donnemartin/interactive-coding-challenges;0
mouredev/Hello-Python;7
drawdb-io/drawdb;447
parallax/jsPDF;18
layui/layui;266
apache/kafka;2912
webtorrent/webtorrent;143
khoj-ai/khoj;1959
