project;
EbookFoundation/free-programming-books;0
public-apis/public-apis;0
donnemartin/system-design-primer;0
vinta/awesome-python;0
facebook/react;104
TheAlgorithms/Python;0
trekhleb/javascript-algorithms;0
Significant-Gravitas/AutoGPT;56
AUTOMATIC1111/stable-diffusion-webui;27
Snailclimb/JavaGuide;0
airbnb/javascript;0
huggingface/transformers;206
ytdl-org/youtube-dl;341
vercel/next.js;1000
f/awesome-chatgpt-prompts;0
Chalarangelo/30-seconds-of-code;12
521xueweihan/HelloGitHub;55
yt-dlp/yt-dlp;111
krahets/hello-algo;9
nodejs/node;444
axios/axios;94
mrdoob/three.js;168
facebook/create-react-app;83
deepseek-ai/DeepSeek-V3;0
open-webui/open-webui;110
ryanmcdermott/clean-code-javascript;0
nvbn/thefuck;17
iluwatar/java-design-patterns;0
pytorch/pytorch;59
microsoft/Web-Dev-For-Beginners;0
fastapi/fastapi;204
django/django;0
jaywcjlove/awesome-mac;11
sveltejs/svelte;459
openai/whisper;12
macrozheng/mall;3
home-assistant/core;1000
comfyanonymous/ComfyUI;61
3b1b/manim;13
doocs/advanced-java;1
tensorflow/models;50
spring-projects/spring-boot;309
bregman-arie/devops-exercises;0
MisterBooo/LeetCodeAnimation;0
FortAwesome/Font-Awesome;59
typicode/json-server;38
fighting41love/funNLP;0
anuraghazra/github-readme-stats;0
elastic/elasticsearch;184
louislam/uptime-kuma;110
abi/screenshot-to-code;0
hacksider/Deep-Live-Cam;6
pallets/flask;36
d2l-ai/d2l-zh;16
hakimel/reveal.js;49
binary-husky/gpt_academic;32
josephmisiti/awesome-machine-learning;0
python/cpython;0
expressjs/express;160
chartjs/Chart.js;115
sherlock-project/sherlock;1
swisskyrepo/PayloadsAllTheThings;4
langflow-ai/langflow;258
webpack/webpack;431
leonardomso/33-js-concepts;0
ansible/ansible;149
xtekky/gpt4free;291
kdn251/interviews;0
keras-team/keras;77
Alvin9999/new-pac;0
resume/resume.github.com;0
scikit-learn/scikit-learn;45
browser-use/browser-use;49
TheAlgorithms/Java;0
juliangarnier/anime;18
labmlai/annotated_deep_learning_paper_implementations;0
lodash/lodash;2
atom/atom;538
Stirling-Tools/Stirling-PDF;129
adam-p/markdown-here;14
OpenInterpreter/open-interpreter;48
jquery/jquery;10
localstack/localstack;91
angular/angular.js;0
meta-llama/llama;0
spring-projects/spring-framework;334
microsoft/markitdown;14
NationalSecurityAgency/ghidra;43
h5bp/html5-boilerplate;34
All-Hands-AI/OpenHands;61
scutan90/DeepLearning-500-questions;0
FoundationAgents/MetaGPT;22
zylon-ai/private-gpt;10
gatsbyjs/gatsby;149
soimort/you-get;123
scrapy/scrapy;40
azl397985856/leetcode;40
jgraph/drawio-desktop;157
ageitgey/face_recognition;2
CorentinJ/Real-Time-Voice-Cloning;0
AntonOsika/gpt-engineer;20
deepfakes/faceswap;4
ultralytics/yolov5;10
commaai/openpilot;56
gorhill/uBlock;276
psf/requests;12
Z4nzu/hackingtool;0
Textualize/rich;169
Semantic-Org/Semantic-UI;154
hiyouga/LLaMA-Factory;33
mozilla/pdf.js;73
google/guava;56
prettier/prettier;124
xai-org/grok-1;0
marktext/marktext;36
modelcontextprotocol/servers;17
PaddlePaddle/PaddleOCR;18
chinese-poetry/chinese-poetry;1
TryGhost/Ghost;872
vllm-project/vllm;61
NARKOZ/hacker-scripts;0
poteto/hiring-without-whiteboards;0
ReactiveX/RxJava;239
moment/moment;0
iamkun/dayjs;119
agalwood/Motrix;21
charlax/professional-programming;0
minimaxir/big-list-of-naughty-strings;0
RVC-Boss/GPT-SoVITS;3
serverless/serverless;448
Asabeneh/30-Days-Of-Python;0
typescript-cheatsheets/react;0
FoundationAgents/OpenManus;3
pandas-dev/pandas;109
microsoft/autogen;89
lllyasviel/Fooocus;21
bigskysoftware/htmx;24
meteor/meteor;0
Mintplex-Labs/anything-llm;16
unclecode/crawl4ai;3
Asabeneh/30-Days-Of-JavaScript;0
google/zx;85
skylot/jadx;30
parcel-bundler/parcel;47
oobabooga/text-generation-webui;69
dbeaver/dbeaver;224
odoo/odoo;0
jeecgboot/JeecgBoot;58
Leaflet/Leaflet;32
microsoft/monaco-editor;91
LeCoupa/awesome-cheatsheets;0
GitSquared/edex-ui;29
Unitech/pm2;126
sudheerj/reactjs-interview-questions;0
