project;
ultralytics/yolov5;110
commaai/openpilot;2022
Textualize/rich;267
Semantic-Org/Semantic-UI;2
hiyouga/LLaMA-Factory;1503
google/guava;437
prettier/prettier;749
modelcontextprotocol/servers;2357
vllm-project/vllm;4973
ReactiveX/RxJava;104
pandas-dev/pandas;1254
Mintplex-Labs/anything-llm;751
unclecode/crawl4ai;793
oobabooga/text-generation-webui;681
dbeaver/dbeaver;1410
run-llama/llama_index;2285
ultralytics/ultralytics;1436
hpcaitech/ColossalAI;569
coqui-ai/TTS;0
psf/black;116
apache/airflow;5831
streamlit/streamlit;1261
freqtrade/freqtrade;3620
gradio-app/gradio;1122
QuivrHQ/quivr;614
ray-project/ray;3519
2noise/ChatTTS;417
denysdovhan/wtfjs;1
ToolJet/ToolJet;2221
halo-dev/halo;600
hankcs/HanLP;43
bumptech/glide;9
usebruno/bruno;908
sqlmapproject/sqlmap;90
huggingface/pytorch-image-models;494
opendatalab/MinerU;2197
TeamNewPipe/NewPipe;260
atlassian/react-beautiful-dnd;6
xkcoding/spring-boot-demo;0
alibaba/easyexcel;42
python-poetry/poetry;309
HeyPuter/puter;2780
Pythagora-io/gpt-pilot;767
jax-ml/jax;6982
certbot/certbot;231
crewAIInc/crewAI;993
explosion/spaCy;99
alibaba/nacos;417
facebookresearch/fairseq;5
gchq/CyberChef;245
danielmiessler/fabric;1350
YunaiV/ruoyi-vue-pro;2359
docling-project/docling;475
mindsdb/mindsdb;1179
lovell/sharp;103
vnpy/vnpy;145
chinabugotech/hutool;450
OWASP/CheatSheetSeries;180
Lightning-AI/pytorch-lightning;306
huggingface/diffusers;1387
GoogleChrome/lighthouse;219
nicolargo/glances;714
jashkenas/backbone;11
paperless-ngx/paperless-ngx;1032
keycloak/keycloak;3269
jashkenas/underscore;17
deezer/spleeter;9
PostHog/posthog;7080
roboflow/supervision;1574
NginxProxyManager/nginx-proxy-manager;227
eslint/eslint;626
haizlin/fe-interview;320
microsoft/graphrag;377
songquanpeng/one-api;301
badges/shields;662
apache/skywalking;304
dgtlmoon/changedetection.io;328
bazelbuild/bazel;3317
Anuken/Mindustry;1245
pydantic/pydantic;699
gethomepage/homepage;496
OpenAPITools/openapi-generator;1156
BerriAI/litellm;10927
microsoft/qlib;57
zulip/zulip;6720
rahuldkjain/github-profile-readme-generator;0
alibaba/Sentinel;8
simple-icons/simple-icons;607
ungoogled-software/ungoogled-chromium;104
jlmakes/scrollreveal;0
iluwatar/java-design-patterns;549
lodash/lodash;1
donnemartin/system-design-primer;3
localstack/localstack;1168
spring-projects/spring-framework;2714
AUTOMATIC1111/stable-diffusion-webui;280
All-Hands-AI/OpenHands;3524
azl397985856/leetcode;30
python/cpython;4840
pytorch/pytorch;14717
fastapi/fastapi;1491
chartjs/Chart.js;55
sherlock-project/sherlock;394
langflow-ai/langflow;5409
yt-dlp/yt-dlp;716
ansible/ansible;530
xtekky/gpt4free;1201
scikit-learn/scikit-learn;1157
browser-use/browser-use;1999
nodejs/node;2832
mrdoob/three.js;2034
home-assistant/core;17054
spring-projects/spring-boot;5764
YunaiV/yudao-cloud;483
fastapi/typer;397
pedroslopez/whatsapp-web.js;38
material-components/material-components-android;465
eosphoros-ai/DB-GPT;394
Grasscutters/Grasscutter;6
goauthentik/authentik;2884
Foundry376/Mailspring;49
aws/aws-cli;890
fastapi/sqlmodel;266
SWE-agent/SWE-agent;1693
ai-shifu/ChatALL;100
Guovin/iptv-api;1336
aio-libs/aiohttp;2001
GaiZhenbiao/ChuanhuChatGPT;76
Rapptz/discord.py;186
lss233/kirara-ai;323
emmabostian/developer-portfolios;1470
ampproject/amphtml;175
xcanwin/KeepChatGPT;54
lowlighter/metrics;0
hapijs/hapi;20
apache/pulsar;848
ansible/awx;427
NodeBB/NodeBB;2203
bloomberg/memray;135
flairNLP/flair;709
caronc/apprise;93
scipy/scipy;2781
huggingface/transformers.js;534
apache/druid;970
ActivityWatch/activitywatch;35
microsoft/pyright;933
arduino/Arduino;1
ivy-llc/ivy;602
quarkusio/quarkus;7127
powerline/powerline;5
saltstack/salt;1564
iterative/dvc;140
horovod/horovod;8
koodo-reader/koodo-reader;409
Cinnamon/kotaemon;168
google/ExoPlayer;2
Delgan/loguru;128
fishaudio/fish-speech;290
hapijs/joi;11
handsontable/handsontable;502
oracle/graal;6797
mlc-ai/mlc-llm;482
mlflow/mlflow;1811
daytonaio/daytona;712
LSPosed/LSPosed;0
recommenders-team/recommenders;197
apache/shardingsphere;3386
dataease/dataease;6878
bee-san/Ciphey;0
brave/brave-browser;1282
python/mypy;693
searxng/searxng;676
wagtail/wagtail;1380
serengil/deepface;558
krisk/Fuse;22
onnx/onnx;428
pyscript/pyscript;136
framework7io/framework7;14
airbytehq/airbyte;16852
kestra-io/kestra;3316
11ty/eleventy;625
Avaiga/taipy;1311
FreeTubeApp/FreeTube;2175
netbox-community/netbox;1344
sympy/sympy;2368
louislam/uptime-kuma;586
elastic/elasticsearch;9446
