project;
ultralytics/yolov5;10
commaai/openpilot;56
Textualize/rich;169
Semantic-Org/Semantic-UI;154
hiyouga/LLaMA-Factory;33
google/guava;56
prettier/prettier;124
modelcontextprotocol/servers;17
vllm-project/vllm;61
ReactiveX/RxJava;239
pandas-dev/pandas;109
Mintplex-Labs/anything-llm;16
unclecode/crawl4ai;3
oobabooga/text-generation-webui;69
dbeaver/dbeaver;224
run-llama/llama_index;380
ultralytics/ultralytics;220
hpcaitech/ColossalAI;50
coqui-ai/TTS;98
psf/black;46
apache/airflow;97
streamlit/streamlit;99
freqtrade/freqtrade;97
gradio-app/gradio;1000
QuivrHQ/quivr;354
ray-project/ray;105
2noise/ChatTTS;6
denysdovhan/wtfjs;25
ToolJet/ToolJet;297
halo-dev/halo;215
hankcs/HanLP;62
bumptech/glide;47
usebruno/bruno;131
sqlmapproject/sqlmap;10
huggingface/pytorch-image-models;65
opendatalab/MinerU;107
TeamNewPipe/NewPipe;136
atlassian/react-beautiful-dnd;68
xkcoding/spring-boot-demo;0
alibaba/easyexcel;14
python-poetry/poetry;141
HeyPuter/puter;8
Pythagora-io/gpt-pilot;0
jax-ml/jax;123
certbot/certbot;59
crewAIInc/crewAI;87
explosion/spaCy;129
alibaba/nacos;82
facebookresearch/fairseq;16
gchq/CyberChef;447
danielmiessler/fabric;149
YunaiV/ruoyi-vue-pro;38
docling-project/docling;100
mindsdb/mindsdb;301
lovell/sharp;94
vnpy/vnpy;63
chinabugotech/hutool;151
OWASP/CheatSheetSeries;0
Lightning-AI/pytorch-lightning;165
huggingface/diffusers;83
GoogleChrome/lighthouse;120
nicolargo/glances;50
jashkenas/backbone;0
paperless-ngx/paperless-ngx;117
keycloak/keycloak;83
jashkenas/underscore;0
deezer/spleeter;2
PostHog/posthog;6
roboflow/supervision;31
NginxProxyManager/nginx-proxy-manager;74
eslint/eslint;350
haizlin/fe-interview;2
microsoft/graphrag;25
songquanpeng/one-api;55
badges/shields;0
apache/skywalking;62
dgtlmoon/changedetection.io;136
bazelbuild/bazel;199
Anuken/Mindustry;164
pydantic/pydantic;174
gethomepage/homepage;101
OpenAPITools/openapi-generator;71
BerriAI/litellm;875
microsoft/qlib;22
zulip/zulip;113
rahuldkjain/github-profile-readme-generator;3
alibaba/Sentinel;25
simple-icons/simple-icons;261
ungoogled-software/ungoogled-chromium;250
jlmakes/scrollreveal;0
iluwatar/java-design-patterns;0
lodash/lodash;2
donnemartin/system-design-primer;0
localstack/localstack;91
spring-projects/spring-framework;334
AUTOMATIC1111/stable-diffusion-webui;27
All-Hands-AI/OpenHands;61
azl397985856/leetcode;40
python/cpython;0
pytorch/pytorch;59
fastapi/fastapi;204
chartjs/Chart.js;115
sherlock-project/sherlock;1
langflow-ai/langflow;258
yt-dlp/yt-dlp;111
ansible/ansible;149
xtekky/gpt4free;291
scikit-learn/scikit-learn;45
browser-use/browser-use;49
nodejs/node;444
mrdoob/three.js;168
home-assistant/core;1000
spring-projects/spring-boot;309
YunaiV/yudao-cloud;24
fastapi/typer;48
pedroslopez/whatsapp-web.js;102
material-components/material-components-android;105
eosphoros-ai/DB-GPT;48
Grasscutters/Grasscutter;20
goauthentik/authentik;286
Foundry376/Mailspring;65
aws/aws-cli;1
fastapi/sqlmodel;23
SWE-agent/SWE-agent;10
ai-shifu/ChatALL;119
Guovin/iptv-api;59
aio-libs/aiohttp;200
GaiZhenbiao/ChuanhuChatGPT;26
Rapptz/discord.py;0
lss233/kirara-ai;74
emmabostian/developer-portfolios;0
ampproject/amphtml;860
xcanwin/KeepChatGPT;0
lowlighter/metrics;55
hapijs/hapi;13
apache/pulsar;108
ansible/awx;64
NodeBB/NodeBB;320
bloomberg/memray;29
flairNLP/flair;28
caronc/apprise;54
scipy/scipy;100
huggingface/transformers.js;69
apache/druid;67
ActivityWatch/activitywatch;62
microsoft/pyright;482
arduino/Arduino;37
ivy-llc/ivy;37
quarkusio/quarkus;385
powerline/powerline;23
saltstack/salt;204
iterative/dvc;552
horovod/horovod;24
koodo-reader/koodo-reader;89
Cinnamon/kotaemon;64
google/ExoPlayer;28
Delgan/loguru;22
fishaudio/fish-speech;12
hapijs/joi;0
handsontable/handsontable;216
oracle/graal;32
mlc-ai/mlc-llm;1
mlflow/mlflow;123
daytonaio/daytona;94
LSPosed/LSPosed;39
recommenders-team/recommenders;14
apache/shardingsphere;58
dataease/dataease;94
bee-san/Ciphey;29
brave/brave-browser;1000
python/mypy;0
searxng/searxng;0
wagtail/wagtail;259
serengil/deepface;13
krisk/Fuse;29
onnx/onnx;32
pyscript/pyscript;35
framework7io/framework7;167
airbytehq/airbyte;416
kestra-io/kestra;242
11ty/eleventy;64
Avaiga/taipy;152
FreeTubeApp/FreeTube;58
netbox-community/netbox;327
sympy/sympy;58
louislam/uptime-kuma;110
elastic/elasticsearch;184
